posth_mf,posth_my,posth_ma,posth_ff,posth_fy,posth_fa,posth_total,preh_mf,preh_my,preh_ma,preh_ff,preh_fy,preh_fa,preh_total,lambda,mf_harvest,my_harvest,ma_harvest,ff_harvest,fy_harvest,fa_harvest,total_harvest
7095,2685,3408,7370,4565,13106,38229,9491,5339,5656,9508,6328,15574,51896,1.045,687,2457,2102,792,1402,1767,9207
7543,2816,3487,7844,4926,13392,40008,9845,5734,5787,9783,6720,15950,53819,1.037,804,2714,2107,777,1491,1899,9792
7809,2941,3606,8087,5229,13639,41311,10023,5864,5962,9782,6964,16246,54841,1.019,778,2742,2186,897,1509,1869,9981
7961,3018,3701,7967,5455,13890,41992,10313,6050,6123,10089,6886,16486,55947,1.02,772,2795,2182,841,1497,1930,10017
8268,3162,3855,8304,5389,14061,43039,10228,6168,6366,10085,7067,16425,56339,1.007,749,2858,2295,823,1495,1898,10118
8166,3216,3943,8331,5572,13980,43208,10386,6200,6438,10191,7146,16441,56802,1.008,761,2889,2323,857,1570,1888,10288
8264,3220,4012,8398,5576,13980,43450,10364,6163,6501,10030,7134,16244,56436,0.994,807,2884,2369,838,1606,1834,10338
8221,3197,4028,8232,5528,13800,43006,10229,6190,6571,9993,7025,16202,56210,0.996,732,2833,2372,837,1493,1854,10121
8180,3260,4089,8246,5532,13787,43094,10107,6103,6607,9972,7042,16223,56054,0.997,797,2830,2387,894,1543,1854,10305
8067,3192,4099,8137,5499,13809,42803,10292,6084,6598,9900,6980,16130,55984,0.999,779,2818,2397,824,1580,1850,10248
8225,3168,4098,8132,5400,13774,42797,10134,6200,6581,9909,6984,15969,55777,0.996,745,2860,2399,832,1531,1739,10106
8057,3231,4078,8156,5453,13608,42583,9979,6078,6615,9808,7023,16008,55511,0.995,746,2800,2351,825,1546,1835,10103
8028,3196,4159,8047,5477,13586,42493,10266,6020,6636,9885,6898,16036,55741,1.004,827,2896,2438,838,1523,1834,10356
8130,3033,4090,8155,5375,13629,42412,10029,6049,6426,9725,6993,15874,55096,0.988,745,2763,2366,784,1527,1879,10064
8012,3206,3967,7987,5466,13398,42036,9989,6013,6434,9744,6853,15767,54800,0.995,697,2834,2365,833,1489,1824,10042
7972,3084,3957,8043,5364,13422,41842,9959,5963,6402,9660,6929,15667,54580,0.996,729,2778,2312,794,1555,1880,10048
7975,3090,3971,7961,5374,13202,41573,9827,5961,6401,9688,6841,15429,54147,0.992,782,2743,2357,819,1558,1723,9982
7739,3132,3944,7905,5283,13169,41172,9667,5787,6387,9507,6778,15364,53490,0.988,687,2647,2321,825,1476,1778,9734
3707,3381,6020,3927,4952,10953,32940,8082,2762,8526,8089,3372,13280,44111,NA,602,1224,3081,705,764,1460,7836
6424,1500,5312,6646,2608,11321,33811,7374,4826,6165,7199,5676,11536,42776,0.97,533,2252,2286,612,1245,1289,8217
5866,2510,3777,5862,4431,9813,32259,7442,4378,5720,7391,5056,11853,41840,0.978,557,2024,2082,657,1093,1375,7788
5911,2285,3547,6056,3963,10020,31782,7359,4375,5284,7233,5183,11587,41021,0.98,529,2094,1930,590,1129,1296,7568
5824,2223,3264,5945,4054,9842,31152,7742,4445,5374,7926,5122,13350,43959,1.072,568,2077,2040,679,1098,1562,8024
6185,2295,3334,6499,4024,11719,34056,8838,4660,5435,8637,5582,14587,47739,1.086,628,2082,2027,753,1269,1690,8449
7111,2510,3395,7089,4313,12694,37112,9352,5315,5549,9107,6076,15430,50829,1.065,703,2507,2079,784,1377,1811,9261
